,user_name,ski_resort,rating
596,max caswell,Snow King,4
597,Randy Rogers,Willamette Pass,5
598,Ritt,Berkshire East,4
599,ccampbell,Camelback Mountain,2
600,Ian Yuh,Northstar California,4
601,Ritt,Eldora Mountain,5
602,Ian Yuh,Mammoth Mountain,5
603,Ian Yuh,Ski China Peak,5
604,Ian Yuh,Badger Pass,4
605,Julie79,Wachusett Mountain,4
606,Ronald,Taos Ski Valley,5
607,noonito,Camelback Mountain,2
608,Robert Turner,Mammoth Mountain,2
609,Robert Turner,Vail,5
610,Robert Turner,Lee Canyon,3
611,jay_bone_22,Taos Ski Valley,3
612,Ontheslopes,Mt. Sunapee,4
613,ccampbell,Roundtop Mountain,4
614,Cody March,Whitetail,3
615,Cody March,Wintergreen,5
616,Shane Wicken,Okemo Mountain,5
617,vedhed,Sugar Bowl,4
618,bermjl,Taos Ski Valley,4
619,danmclaw,Bear Creek Mountain,4
620,danmclaw,Spring Mountain,3
621,ENWR,Devils Head,2
622,George P,Okemo Mountain,5
623,Ian Yuh,Kirkwood,5
624,Likeabat,Timberline Mountain,4
625,attyWSW,Powderhorn,5
626,mjurkiewicz,Montage Mountain,4
627,beefcake1313,Jackson Hole,5
628,Frank Castellanos,Camelback Mountain,3
629,Likeabat,Perfect North Slopes,3
630,Les,Liberty,3
631,TanMan,Lost Trail Powder Mountain,5
632,A. cooper,Heavenly Mountain,3
633,A. cooper,Steamboat,5
634,Philip H. Eckerberg,Deer Mountain,4
635,mt.skier,Blacktail Mountain,3
636,mt.skier,Bridger Bowl,5
637,offwallstreet,Blue Hills,2
638,offwallstreet,Blue Hills,2
639,sewardhorner,Swiss Valley,4
640,smezhir,Copper Mountain,5
641,Terry,Schweitzer,5
642,kooter,Ski Snowstar,5
643,mt.skier,Whitefish Mountain,4
644,mt.skier,Great Divide,3
645,Alan M,Bittersweet,4
646,Alan M,Swiss Valley,4
647,Christopher Horner,Montage Mountain,3
648,Christopher Horner,Blue Mountain,4
649,Christopher Horner,Elk Mountain Ski,5
650,jssctrent,Snowshoe Mountain,5
651,Fauster,Liberty,4
652,swetsb,Burke Mountain,4
653,A. cooper,Park City Mountain,5
654,A. cooper,Beaver Creek,5
655,bwm30,Snowshoe Mountain,2
656,dubisaweapon,Mad River Glen,5
657,govey80,Mammoth Mountain,5
658,hotdotsails,Blue Mountain,5
659,joegregdon,Copper Mountain,4
660,joegregdon,Vail,5
661,Julie79,Loon Mountain,5
662,Julie79,Waterville Valley,4
663,Karl,Boyne Mountain,4
664,kooter,Ski Snowstar,5
665,Mark Rosasco,Winter Park,3
666,molly young,Sunlight Mountain,5
667,molly young,Bear Creek Mountain,5
668,molly young,Spring Mountain,4
669,p_nut,Killington,4
670,p_nut,Stratton Mountain,5
671,Ronald,Jackson Hole,5
672,Terry,Mammoth Mountain,4
673,Terry,Wolf Creek,5
674,tourist from Texas,Snowbasin,4
675,tourist from Texas,Park City Mountain,3
676,A. cooper,Alta,5
677,A. cooper,Snowbasin,4
678,bangsezmax,Appalachian Ski Mountain,5
679,bangsezmax,Ski Beech Mountain,3
680,bangsezmax,Sugar Mountain,5
681,Brian Thayer,Sunday River,5
682,gwiffie,Mt. Rose Ski Tahoe,3
683,gwiffie,Tahoe Donner,5
684,J Berlo,Breckenridge,5
685,J Berlo,Attitash,4
686,J Berlo,Boyne Highlands,4
687,jssctrent,Ober Gatlinburg Ski,3
688,jssctrent,Winterplace Ski,4
689,jwtime,Ski Snowstar,5
690,MCPG,Paoli Peaks,3
691,wisp,Snow Creek,4
692,zakk,Sierra at Tahoe,5
693,A. cooper,Deer Valley,5
694,A. cooper,Jackson Hole,5
695,A. cooper,Granite Peak,5
696,Fauster,Roundtop Mountain,4
697,gkphi5,Heavenly Mountain,5
698,MCPG,Sundance,5
699,offwallstreet,Pats Peak,4
700,Unionhawk,Steamboat,5
701,Unionhawk,Perfect North Slopes,3
702,Randy Whitson,Sipapu Ski and Summer,2
