,full_address,ski_resort,latitude,longitude
130,"1251 Eaton Rd, East Madison, New Hampshire",King Pine,43.8678159,-71.0894039
131,"PO Box 1, Kirkwood, California",Kirkwood,38.7023082,-120.0722442
132,"P.O. Box 73, Glenwood, New York",Kissing Bridge,42.61922759999999,-78.65780409999999
133,"Route 91 PO Box 105, Truxton, New York",Labrador Mt.,42.7120125,-76.0285349
134,"7501 Tule Springs Rd. #110, Las Vegas, NV 89131",Lee Canyon,36.2970463,-115.2789897
135,"78 Country Club Trail, Carroll Valley, Pennsylvania",Liberty,39.7635016,-77.3754187
136,"105 Cedar Creek Rd, Slinger, Wisconsin",Little Switzerland,43.3379068,-88.2788865
137,"P.O. Box 108, Walle, ID 83873",Lookout Pass,47.6160697,-115.9055009
138,"60 Loon Mountain Rd., Lincoln, New Hampshire",Loon Mountain,44.0453868,-71.626778
139,"P.O. Box 311, Conner, Montana",Lost Trail Powder Mountain,45.9307534,-114.1245288
140,"Box 260, Auburn, Maine",Lost Valley,44.0978509,-70.2311655
141,"PO Box 899, Georgetown, Colorado",Loveland,39.70609839999999,-105.6975041
142," P.O. Box 129, Lutsen, Minnesota",Lutsen Mountains,47.6469402,-90.67480259999999
143,"P.O. Box 22, Bellefontaine, Ohio",Mad River Mountain,40.3611643,-83.7596557
144,"P.O. Box 1089, Waitsfield, Vermont",Mad River Glen,44.1926386,-72.7798479
145,"P.O. Box 396, Londonderry, Vermont",Magic Mountain Vermont,43.2264643,-72.8064866
146,"319 Orchard Dr., Twin Falls, Idaho",Magic Mountain Idaho,42.5349221,-114.4744745
147,"P.O. Box 24, Mammoth Lakes, California",Mammoth Mountain,37.648546,-118.972079
148,"2725 Mariaville Road, Schenectady, New York",Maple Ski Ridge,42.8170329,-74.0322614
149,"4501 M-553, Marquette, Michigan",Marquette Mountain,46.5082074,-87.42080969999999
150,"PO Box 1227, Harrisonburg, Virginia",Massanutten,38.4495688,-78.8689155
151,"Box 475 Maverick Mountain Road, Polaris, Montana",Maverick Mountain,45.4308358,-113.122895
152,"Town of Webb, Old Forge, New York",McCauley Mountain Ski Center,43.7100885,-74.9734809
153,"426 Forest Service Road Highway 16, Tensleep, Wyoming",Meadowlark,44.033844,-107.45282
154,"PO Box 27, Cornwall, Connecticut",Mohawk Mountain,41.8437058,-73.3292848
155,"#1 Powder Ple, Monarch, Colorado",Monarch Mountain,38.5526022,-106.2939187
156,"1400 Townsend Drive, Houghton, Michigan",Mont Ripley,47.1196551,-88.5482234
157,"1000 Montage Mountain Rd, 18507 Scranton, Pennsylvania",Sno Mountain,41.348129,-75.66398810000001
158,"P.O. Box 8107, ssoula, Montana",Montana Snowbowl,46.8721284,-113.9940314
159,"13536 South Dixie Highway, Holly, Michigan",Mount Holly,42.8306735,-83.56151849999999
160,"20461 Hwy 66, Mankato, Minnesota",Mount Kato,44.1635775,-93.99939959999999
161,"Rte 17A & Old Mt Peter Rd, Warwick, New York",Mt. Peter,41.242609,-74.29925109999999
162," 23301 Plank Rd ,  Venango, Pa 16440",Mount Pleasant,41.7955256,-80.0973625
163,"39 Mount Snow Road, West Dover, Vermont",Mt. Snow,42.9683842,-72.89520739999999
164,"P.O. Box 347, Southington, Connecticut",Mt. Southington,41.5964869,-72.8776013
165,"P.O. Box 2021 Route 103, Newbury, New Hampshire",Mt. Sunapee,43.3080187,-72.0156327
166,"200 Route 94, Vernon, New Jersey",Mountain Creek,41.1907439,-74.5052204
167,"P.O. Box 3010, Wrightwood, California",Mountain High,34.3608341,-117.6333884
168,"Howe Hill Road, Greenwood, Maine",Mt. Abram Ski,44.3829705,-70.7143399
169,"P.O. Box 220, Ashland, Oregon",Mt. Ashland,42.1945758,-122.7094767
170,"1420 Iowa St., Bellingham, Washington",Mt. Baker,48.7556472,-122.4556487
171,"P.O. Box 459, Mt. Baldy, California",Mt. Baldy,34.2363809,-117.6589752
172,"P.O. Box 1000, Bend, Oregon",Mt. Bhelor,44.0581728,-121.3153096
173,"L La Belle, Michigan, Michigan",Mt. Bohea,47.3754866,-88.01118
174,"4141 Bauer Road, Brighton, Michigan",Mt. Brighton,42.5408278,-83.8114172
175,"P.O. Box 69, Crescent, Iowa",Mt. Crescent,41.364996,-95.85806679999999
176,"3100 Holiday Road, Traverse City, Michigan",Mt. Holiday,44.7435027,-85.514578
177,"P.O. Box 470, Mt. Hood, Oregon",Mt. Hood Meadows,45.373615,-121.695951
178,"PO Box 280, Government Camp, Oregon",Mt. Hood Skibowl,45.3040072,-121.7547998
179,"P. O. Box 35, Lee, Maine",Mt. Jefferson,45.36006150000001,-68.2864076
180,"P.O. Box 9, La Crosse, Wisconsin",Mt. La Crosse,43.8137751,-91.25190169999999
181,"22222 Mt. Rose Hwy., Reno, Nevada",Mt. Rose Ski Tahoe,39.3284344,-119.8853818
182,"PO Box 1180, Mount Shasta, California",Mt. Shasta,41.3098746,-122.3105666
183,"29500 North Mt. Spokane Park Dr., Mead, Washington",Mt. Spokane,47.9213901,-117.0964754
184,"Box 969, Grand Haven, Michigan",Mulligan's Hollow,43.0630734,-86.22838639999999
185,"PO Box 309, Westford, Masshusetts",Nashoba Valley,42.5792583,-71.4378411
186,"RR1 Box 3347, Stockton Springs, Maine",New Hermon Mountain,44.4895196,-68.85697619999999
187,"W5806 Cty Rd W, Wild Rose, Wisconsin",Nordic Mountain,44.1214366,-89.181573
188,"3567 Nordic Valley Way, Eden, Utah",Nordic Valley,41.3074255,-111.8717635
189,"PO Box 129, Truckee, California",Northstar California,39.327962,-120.1832533
190,"P.O. Box 95, Norway, Michigan",Norway Mountain,45.7869023,-87.9037364
191,"500 Nub's Nob Road, Harbor Springs, Michigan",Nubs Nob,45.4714767,-84.9048135
192,"141 Novosel Way, Speculator, NY",Oak Mountain,43.517884,-74.36161799999999
193,"1001 Parkway, Gatlinburg, Tennessee",Ober Gatlinburg Ski,35.708817,-83.5214314
194,"77 Okemo Ridge Road, Ludlow, Vermont",Okemo Mountain,43.4018216,-72.71701279999999
195,"PO Box 2000, Hot Springs, Virginia",Omni Homestead,37.9993993,-79.831587
196,"159 Monterey Road - Route 23, 01253 Otis, Masshusetts",Otis Ridge,42.19598209999999,-73.0961906
197,"P.O. Box 155, Los Alamos, New Mexico",Pajarito Mountain,35.8800364,-106.3031138
198,"PO Box 2007, Olympic Valley, California",Palisades Tahoe,39.1969804,-120.2357055
199,"P.O. Box 67, Paoli, Indiana",Paoli Peaks,38.55616630000001,-86.468321
200,"P.O. Box 39, Park City, Utah",Park City Mountain,40.6460622,-111.4979729
201,"PO Box 2448, Henniker, New Hampshire",Pats Peak,43.1798323,-71.82228719999999
202,"P.O. Box 370, Inkom, Idaho",Pebble Creek,42.7963041,-112.2541374
203,"P.O. Box 360, Findley Lake, New York",Peekn Peak,42.1192226,-79.7325484
204,"19074 Perfect Lane, Lawrenceburg, Indiana",Perfect North Slopes,39.1508879,-84.88582079999999
205,"4763 Killington Road, Killington, Vermont",Pico Mountain,43.651295,-72.841849
206,"7778 Sashabaw Road, Clartkston, Michigan",Pine Knob,42.7472267,-83.3728087
207,"N3332 Pine Mountain Road, Iron Mountain, Michigan",Pine Mountain,45.8392588,-88.0885847
208,"469 Plattekill Mountain Road, Roxbury, New York",Plattekill Mountain,42.2902851,-74.6531936
209,"119 Mountain Road, Bridgton, Maine",Pleasant,44.0590029,-70.8154783
210,"P.O. Box 158, Albion, Idaho",Pomerelle Mountain,42.4126885,-113.578063
211,"P.O. Box 450, Eden, Utah",Powder Mountain,41.3007423,-111.8127212
212,"P.O. Box 339, Kimball, Minnesota",Powder Ridge Minnesota,45.3125517,-94.29720549999999
213,"99 Powder Hill Road, ddlefield, Connecticut",Powder Ridge Connecticut,41.5015999,-72.73640809999999
214,"P.O. Box 370, Mesa, Colorado",Powderhorn,39.1662458,-108.1388881
215,"#1 Skier Ple, Durango, Colorado",Purgatory Mountain,37.6339082,-107.8101988
216,"620 Ragged Mountain Road, Danbury, New Hampshire",Ragged Mountain,43.4847602,-71.8417996
217,"P.O. Box 750, Red Lodge, Montana",Red Lodge Mtn.,45.1857782,-109.2468211
218,"P.O. Box 900, Red River, New Mexico",Red River,36.7080849,-105.4061159
219,"925 Roundtop Rd., Lewisberry, Pennsylvania",Roundtop Mountain,40.10943959999999,-76.9270928
220,"3072 State Highway 10, Caroga Lake, New York",Royal Mountain,43.0824901,-74.5004819
221,"10 Tramway Loop N.E., Albuquerque, New Mexico",Sandia Peak,35.1928664,-106.4877533
222,"P.O. Box 2048, Cashiers, North Carolina",Sapphire Valley,35.111906,-83.0996354
223,"14 The Green, Woodstock, Vermont",Saskadena Six,43.6231245,-72.5189114
224,"One Shanty Creek Road, Bellaire, Michigan",Shanty Creek,44.9637516,-85.1933235
225,"10000 Schweitzer Mountain Road, Sandpoint, Idaho",Schweitzer,48.3674007,-116.6234994
226,"1086 222nd Drive, Boone, Iowa",Seven Oaks,42.0307287,-93.9533731
227,"777 Waterwheel Drive, Seven Springs, Pennsylvania",Seven Springs,40.0230476,-79.2976786
228,"P.O. Box 92, Neihart, Montana",Showdown,46.93329550000001,-110.7357707
229,"1111 Sierra-at-Tahoe Road, Twin Bridges, California",Sierra at Tahoe,38.8002633,-120.0804847
230,"610 Bunker Avenue, Kellogg, Idaho",Silver Mountain,47.54063679999999,-116.132945
231,"P.O. Box 856, Silverton, CO",Silverton Mountain,37.811941,-107.6645057
232,"5224 NM-518, Vadito, New Mexico",Sipapu Ski and Summer,36.1541588,-105.5481243
233,"Box 220, Ruidoso, New Mexico",Ski Apache,33.4404458,-105.5885567
234,"397 Brule Mountain Road, Iron River, Michigan",Ski Brule,46.0619258,-88.6248176
235,"380 State Road - Route 23, Great Barrington, Masshusetts",Ski Butternut,42.182929,-73.32140489999999
236,"PO Box 2108, Santa Fe, New Mexico",Ski Santa Fe,35.6869752,-105.937799
237,"383 Oregon Hill Rd., Morris, Pennsylvania",Ski Sawmill,41.523581,-77.290391
238,"9500 126th St. West, Andalusia, Illinois",Ski Snowstar Winter Sports Park,41.42527030000001,-90.74618919999999
239,"PO Box 208, New Hartford, Connecticut",Ski Sundown,41.87932139999999,-72.97516929999999
240,"1000 Main St, Shrewsbury, Masshusetts",Ski Ward,42.3014714,-71.68286239999999
241,"348 Yellowstone Highway, Cody, Wyoming",Sleeping Giant,44.5166373,-109.0876195
242,"4323 Vermont Route 108 South, Smugglers Notch, Vermont",Smugglers' Notch,44.6445142,-72.8347308
243,"P.O. Box 567, Weston, Missouri",Snow Creek,39.4111092,-94.9016298
244,"PO Box SKI, Jackson, Wyoming",Snow King,43.4799291,-110.7624282
245,"PO Box 100 Route 26, Turin, New York",Snow Ridge,43.665144,-75.4307145
246,"3407 E. Mannsiding Road, Harrison, Michigan",Snow Snake,43.9555075,-84.79409390000001
247,"P.O. Box 77, Big Bear Lake, California",Snow Sumt,34.2438963,-116.9114215
248,"P.O. Box 1456, Mansfield, Ohio",Snow Trails,40.75839,-82.5154471
249,"P.O. Box 2337, Running Springs, California",Snow Valley,34.2077859,-117.1092049
250,"P.O. Box 460, Huntsville, Utah",Snowbasin,41.2607744,-111.7699379
251,"P.O. Box 929000, Snowbird, Utah",Snowbird,40.5829259,-111.6556388
252,"P.O. Box 10, Snowshoe, West Virginia",Snowshoe Mountain,38.4132303,-79.9975177
253,"Po Box 247, Centennial, Wyoming",Snowy Range Ski Recreation Area,41.2983055,-106.1416774
254,"P.O. Box 39, Truckee, California",Soda Springs,39.327962,-120.1832533
255,"P.O. Box 510, Fairfield, Idaho",Soldier Mountain,43.3465675,-114.7917279
256,"12000 Big Cottonwood Canyon, Brighton, Utah",Solitude Mountain,40.6196602,-111.5910103
257,"PO Box 149, Tully, New York",Song Mountain,42.7981229,-76.1093695
258,"9500 Spirit Mountain Ple, Duluth, Minnesota",Spirit Mountain,46.7182519,-92.2167752
259,"79327 Highway 204, Weston, Oregon",Spout Springs,45.7555622,-118.0509253
260,"P.O. Box 276, Spring Mount, Pennsylvania",Spring Mountain,40.2756574,-75.4565657
261,"P.O. Box 1668, Wenatchee, Washington",Mission Ridge,47.4234599,-120.3103494
262,"2305 Mt. Werner Circle, Steamboat Springs, Colorado",Steamboat,40.4570979,-106.8044718
263,"P.O. Box 98, Skykosh, Washington",Stevens Pass,47.7092746,-121.3601014
264,"5781 Mountain Rd., Stowe, Vermont",Stowe Mountain,44.5291336,-72.7773251
265,"RR #1 Box 145, Stratton Mountain, Vermont",Stratton Mountain,43.1138414,-72.905452
266,"P.O. Box 5, Norden, California",Sugar Bowl,39.3173556,-120.354182
267,"P.O. Box 369, Banner Elk, North Carolina",Sugar Mountain,36.1631817,-81.8715019
268,"1840 Sugarbush cess Road, Warren, Vermont",Sugarbush,44.1455491,-72.879474
269,"5092 cess Road, Carrabassett Valley, Maine",Sugarloaf,45.0440869,-70.32660779999999
270,"P.O. Box 1068, Snoquale Pass, Washington",The Summit at Snoqualmie,47.3923346,-121.4000942
271,"P.O. Box 10, Sun Valley, Idaho",Sun Valley,43.6847762,-114.3690043
272,"8355 Prospect Drive, Kewaskum, Wisconsin",Sunburst,43.49342,-88.2261583
273,"RR #3 Box A-1, Sundance, Utah",Sundance,40.3934222,-111.5887709
274,"PO Box 4500, Newry, Maine",Sunday River,44.4884245,-70.78857649999999
275,"16991 Asbury Road, Dubuque, Iowa",Sundown Mountain,42.516338,-90.8216659
276,"10901 County Road 117, Glenwood Springs, Colorado",Sunlight Mountain,39.399887,-107.3387339
277,"P.O. Box 117, Greer, Arizona",Sunrise Park,34.0095187,-109.4585456
278,"P.O. Box 44, Swain, New York",Swain,42.4778443,-77.8533322
279,"Route #1, Jones, Michigan",Swiss Valley,41.9042867,-85.7988714
280,"11509 Northwoods Blvd., Truckee, California",Tahoe Donner,39.3436367,-120.2149387
281,"PMB 3003, Tamark, Idaho",Tamarack,44.9551656,-116.3856896
282,"P.O. Box 90, Taos Ski Valley, New Mexico",Taos Ski Valley,36.5959999,-105.4545
283,"565 Mountain Village Blvd., Telluride, Colorado",Telluride,37.9366359,-107.8454981
284,"P.O. Box 774, Lead, South Dakota",Terry Peak,44.3522065,-103.7651984
285,"PO Box 1354, Choteau, Montana",Teton Pass,47.8124531,-112.1836301
286,"600 Highlands Drive, Harbor Springs, Michigan",Boyne Highlands,45.4707867,-84.93535419999999
287,"1 Wood Ridge Road, Glen Arbor, Michigan",The Homestead,44.9134552,-85.96434500000001
288,"Rt. #22 PO Box 627, Patterson, New York",Thunder Ridge,41.5078495,-73.5868118
289,"07500 23 1/2 Street, Gobles, Michigan",Timber Ridge,42.3914272,-85.7810006
290,"HC 70 Box 488, Davis, West Virginia",Timberline,39.1287189,-79.4647739
291,"Mountain Services Office, Timberline Lodge, Oregon",Timberline Lodge,45.3311281,-121.7110064
292,"215 Johnson Rd., Malone, New York",Titus Mountain,44.7736674,-74.248511
293,"P.O. Box 162, Fabius, New York",Toggenburg Mountain,42.835067,-75.9860322
294,"3962 Wilkinson Road, Gaylord, Michigan",Treetops,45.0312277,-84.5937644
295,"2232 100th Avenue, Dresser, Wisconsin",Trollhaugen,45.3513046,-92.61807089999999
296,"P.O. Box 885, Boalsburg, Pennsylvania",Tussey Mountain,40.7756184,-77.7924992
297,"3487 Bohn Road, Mt. Horeb, Wisconsin",Tyrol Basin,43.0464128,-89.7805584
298,"P.O. Box 7, Vail, Colorado",Vail,39.6433243,-106.3780801
299,"1401 W. Lake St., Bartlett, Illinois",Villa Olivia,42.0128119,-88.2201548
300,"P.O. Box 540, Waterville Valley, New Hampshire",Waterville Valley,43.9500695,-71.4995204
301,"Box 146, Welch, Minnesota",Welch Village,44.5683003,-92.7385321
302,"59 West Mountain Rd., Glen Falls, New York",West Mountain,43.2857666,-73.7240681
303,"Enfield, Enfiled, New Hampshire",Whalebk,43.6406274,-72.1439764
304,"P.O. Box 3030, White Pass, Washington",White Pass,46.63872569999999,-121.3895281
305,"P.O. Box 1420, Pinedale, Wyoming",White Pine,42.8678809,-109.8633501
