,airport_3,ski_resort,distance_3
735307,Harvey Municipal,Spout Springs,1394.9835018057547
674220,Mobridge Municipal,Spring Mountain,2105.1827727085865
297070,Wayne County,Steamboat,2094.9262032660627
730331,Wings ,Stevens Pass,3728.3454573103995
747264,Prague Municipal,Stowe Mountain,2262.311208715703
716389,Montauk,Stratton Mountain,240.62911694528583
683854,Mapleton Municipal,Sugar Bowl,2085.874328227936
678543,White County,Sugar Mountain,661.027574267112
672568,Midland International,Sugarbush,2882.4129422357805
724029,Yuba County,Sugarloaf,4209.474656614345
591231,Juneau International,Sun Valley,2141.314337123552
910948,Lemhi County,Sunburst,2040.8595925468965
902981,Sikeston Memorial Municipal,Sundance,1946.6169074409577
724034,Yuba County,Sunday River,4184.021905349278
668259,Picayune Municipal,Sundown Mountain,1341.5930343262046
381744,"W. H. \Bud\"" Barron """,Sunlight Mountain,2310.7478099160703
836253,Franklin ,Sunrise Park,1174.8828365754352
1274,Perry-Warsaw,Swain,33.51192512997665
296423,Tulip City,Swiss Valley,96.61514956047304
131420,Greenville Muni,Tahoe Donner,3350.791858243374
130757,Panola County-Sharpe ,Tamarack,2375.7539473701618
236334,Nantucket Memorial,Taos Ski Valley,3083.4973387743084
169935,Lloyd R. Roundtree Seaplane Facility,Telluride,2793.3277525229587
382416,Dahl Creek,Terry Peak,3979.1331002275015
182885,Columbus,Teton Pass,329.99210535365154
76647,Shelby County,The Homestead,656.2531233683499
807694,Palmdale Production Flight,The Summit at Snoqualmie,1445.818249437793
752932,Fall River Mills,Thunder Ridge,3947.139263000318
12573,Hartington Municipal,Timber Ridge,940.07558122066
173926,Middlebury State,Timberline,756.1099858223234
930887,Cheyenne County Municipal,Timberline Lodge,1739.4265578260126
660308,Hassel ,Titus Mountain,1562.062758911681
45113,Canton -Plymouth -  Mettetal,Toggenburg Mountain,613.8462960738439
948818,Tacoma Narrows,Treetops,2907.5472043746163
789127,Port Allen,Trollhaugen,6521.6735126191315
758252,Searle ,Tussey Mountain,2007.6850177465192
659981,Waldron Municipal,Tyrol Basin,982.3242458992946
114506,Big Sandy,Vail,993.1092500337611
29183,Winsted Municipal,Villa Olivia,573.5204203456447
716454,Montauk,Wachusett Mountain,158.58946229083517
827976,Pine River Regional,Waterville Valley,1808.2717276952515
854869,Babelthoup/Koror,Welch Village,12555.220008467659
234694,Abilene Regional,West Mountain,2564.9643729553845
672603,Midland International,Whalebk,2922.1500312290987
389076,Dillingham,White Pass,2797.856290962017
593257,Jacksonville-Cherokee County,White Pine,1775.7594780153222
852882,Renton Municipal,Whitecap Mountain,2342.805780153774
672607,Midland International,Whiteface Mountain,2803.0633651624266
187888,Marine City,Whitefish Mountain,2530.6471936623425
657337,Bolivar Municipal,Whitetail,1357.5512995467218
716434,Montauk,Whusett,158.58946229083517
789143,Port Allen,Wild Mountain Ski Snowboard Area,6518.96619800329
768228,O Neill Municipal,Wildcat Mountain,2222.7474035995865
155689,Homer Municipal,Willamette Pass,2882.9349686483197
166314,Kantishna,Willard Mountain,5415.448986383402
394067,P B Raiford,Wilmot Mountain,1214.98302244281
57420,Grandfield Municipal,Windham Mountain,2308.040327615912
114525,Big Sandy,Winter Park,982.8210681687849
603894,Oswego Municipal,Wintergreen,1424.16125940207
511267,Middleton ,Winterplace Ski,875.5002444284995
69044,Elbert County-Patz ,Wisp,680.4955617001822
55765,Mountain Grove Memorial,Wolf Creek,1300.7280127344882
253970,Anaktuvuk Pass,Wolf Ridge Ski,5484.410620572023
504631,Piedmont Triad International,Woodbury,840.8452719975315
682252,Key ,Woods Valley,1689.1525548388163
937893,Sinton-San Patricio County,Yawgoo Valley,2793.7107832501943
