Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
Waterville Valley,P.O. Box 540,03215 Waterville Valley,New Hampshire,United States,4004,2020,1984,0,1,1,0,2,2,5,265,1.9,142,148,December 10 2023,April 15 2024,4,29,29,33,22,4,0,25,704,1171,737,0,0,0,0,0,0,0,https://www.onthesnow.com/new-hampshire/waterville-valley/ski-resort.html,0,0,0
Welch Village,Box 146,55089 Welch,Minnesota,United States,1060,360,700,0,0,0,3,1,4,2,125,0.8,114,45,November 25 2023,March 26 2024,2,19,17,17,6,0,0,420,500,44,54,44,50,60,50,0,0,0,https://www.onthesnow.com/Minnesota/welch-village/ski-resort.html,0,0,0
West Mountain,59 West Mountain Rd.,12804 Glen Falls,New York,United States,1470,1010,460,0,0,0,0,1,2,2,105,0.6,0,80,December 23 2023,April 07 2024,0,4,8,17,18,0,0,699,799,899,799,35,39,49,35,45,49,59,https://www.onthesnow.com/new-york/west-mountain/ski-resort.html,0,0,0
Whaleback,Enfield,03748 Enfiled,New Hampshire,United States,1800,700,1100,0,0,0,0,0,1,3,60,1,105,110,December 26 2023,March 26 2024,0,6,13,18,8,0,0,150,225,275,200,0,25,30,25,0,35,45,https://www.onthesnow.com/new-hampshire/whalebk-mountain/ski-resort.html,0,0,0
White Pass,P.O. Box 3030,98937 White Pass,Washington,United States,6550,2050,4500,0,2,0,1,1,2,2,30,2.5,148,400,December 01 2023,April 28 2024,5,62,72,78,57,30,0.1,25,539,859,25,5,49,69,5,5,49,69,https://www.onthesnow.com/washington/white-pass/ski-resort.html,0,0,0
White Pine,P.O. Box 1420,82941 Pinedale,Wyoming,United States,9500,1100,8400,0,0,0,0,2,0,0,370,0.4,0,150,December 01 2023,March 24 2024,0.5,22,17,19,14,0.2,0,350,420,485,420,6,36,49,36,6,28,38,https://www.onthesnow.com/Wyoming/white-pine-ski-area/ski-resort.html,Check gondola information.,Check terrain information.,0
Whitecap Mountain,9106 W County Road E,54565 Upson,Wisconsin,United States,1750,400,1295,0,0,0,0,1,4,0,150,1,105,200,December 17 2023,March 26 2024,2,14,28,30,9,0,0,210,300,385,275,30,45,60,45,30,45,60,https://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html,Check gondola information.,0,0
Whiteface Mountain,Whiteface Mountain Route 86,12997 Wilngton,New York,United States,4650,3430,1220,1,1,0,3,1,3,2,220,2.1,126,168,November 24 2023,April 16 2024,9,32,36,39,36,6,0,319,419,809,249,70,90,115,90,70,90,115,https://www.onthesnow.com/new-york/whitefe-mountain-resort/ski-resort.html,0,0,0
Whitefish Mountain,P.O. Box 1400,59937 Whitefish,Montana,United States,6817,2353,4464,0,3,0,2,6,0,3,600,3.3,123,333,December 09 2023,April 07 2024,2,62,57,55,46,8,0,569,799,1399,1179,42,72,83,72,42,72,83,https://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html,0,0,0
Whitetail,13805 Blairs Valley Rd.,17236 Mercersburg,Pennsylvania,United States,1800,935,865,0,1,0,3,0,2,2,120,1,116,40,December 26 2023,March 03 2024,0,5,12,7,3,0,0,439,859,0,61,69,0,79,71,0,0,0,https://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html,0,0,0
Whusett,499 Mountain Road,01541-1105 Princeton,Masshusetts,United States,2006,1000,1006,0,3,0,0,1,0,4,125,1.5,0,100,November 25 2023,April 07 2024,4,18,18,28,16,0.5,0,529,799,529,15,53,65,53,15,58,71,58,https://www.onthesnow.com/masshusetts/whusett-mountain-ski-area/ski-resort.html,0,Check terrain information.,0
Wild Mountain Ski Snowboard Area,P.O. Box 235,55084 Taylors Falls,Minnesota,United States,1113,300,813,0,0,0,4,0,0,4,100,0.9,0,0,October 18 2023,April 01 2024,6,14,10,13,6,3,0,20,339,439,0,43,56,49,0,43,56,49,https://www.onthesnow.com/Minnesota/wild-mountain-ski-snowboard-area/ski-resort.html,0,0,0
Wildcat Mountain,P.O. Box R,03846 Jackson,New Hampshire,United States,4062,2112,1950,0,1,0,0,3,0,1,200,2.8,156,200,November 24 2022,April 16 2023,9,32,30,39,32,8,0,439,859,59,79,59,67,89,67,0,0,0,https://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html,0,0,0
Willamette Pass,PO Box 5550,97405 Eugene,Oregon,United States,6683,1563,5120,0,0,1,0,3,0,1,60,2.1,0,430,December 02 2022,May 14 2023,1,25,34,35,35,3,0.2,299,399,549,0,0,0,0,0,0,0,0,https://www.onthesnow.com/oregon/willamette-pass/ski-resort.html,0,0,0
Willard Mountain,PO Box 65,12834 Greenwich,New York,United States,1415,505,910,0,0,0,0,0,2,3,35,0.4,85,80,December 16 2023,April 07 2024,0,4,5,11,7,0,0,438,481,516,259,42,46,42,46,0,0,0,https://www.onthesnow.com/new-york/willard-mountain/ski-resort.html,0,0,0
Wilmot Mountain,P.O. Box 427,53192 Wilmot,Wisconsin,United States,1030,230,800,0,0,0,3,2,2,4,135,0.5,125,70,December 03 2023,March 17 2024,0.2,3,10,8,3,0,0,439,859,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort.html,0,0,0
Windham Mountain,P.O. Box 459,12496 Windham,New York,United States,3100,1600,1500,0,2,1,0,2,1,5,280,2,131,105,November 20 2023,April 07 2024,3,18,19,27,18,0.3,0,99,1599,1099,0,0,0,0,0,0,0,0,https://www.onthesnow.com/new-york/windham-mountain/ski-resort.html,0,0,0
Winter Park,P.O. Box 36,80482 Winter Park,Colorado,United States,12060,3060,9000,1,7,2,0,4,6,5,313,4.9,158,360,October 31 2022,May 21 2023,35,65,58,52,56,45,8,149,179,169,121,179,157,0,0,0,0,0,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort.html,0,0,0
Wintergreen,PO Box 706,22958 Wintergreen,Virginia,United States,3515,1003,2512,0,0,2,1,1,1,0,129,1,107,34,December 23 2023,March 10 2024,0.7,1,6,7,3,0,0,529,699,529,0,54,64,54,0,74,94,74,https://www.onthesnow.com/virginia/wintergreen-resort/ski-resort.html,Check gondola information.,0,0
Winterplace Ski,PO Box 1,25841 Flat Top,West Virginia,United States,3600,603,2997,0,0,0,2,3,2,5,90,1.2,120,100,December 09 2023,March 10 2024,0.1,4,13,15,6,0,0,499,699,499,0,35,56,0,54,72,0,0,https://www.onthesnow.com/west-virginia/winterple-ski-resort/ski-resort.html,0,0,0
Wisp,296 Marsh Hill Road,21541 McHenry,Maryland,United States,3115,700,2415,0,0,0,2,5,0,5,118,1.5,121,100,November 25 2023,March 25 2024,0.8,11,21,24,13,0,0,529,699,529,59,84,69,89,0,0,0,0,https://www.onthesnow.com/maryland/wisp/ski-resort.html,0,0,0
Wolf Creek,P.O. Box 2800,81147 Pagosa Springs,Colorado,United States,11904,1604,10300,0,3,0,1,2,1,3,5,2,164,430,November 04 2023,April 07 2024,41,83,71,78,63,8,0.3,490,962,1247,547,6,42,85,54,6,35,69,https://www.onthesnow.com/colorado/wolf-creek-ski-area/ski-resort.html,0,0,0
Wolf Ridge Ski,578 Valey View Circle,28754 Mars Hill,North Carolina,United States,4700,700,4000,0,0,0,1,0,1,2,65,0.6,0,65,November 25 2023,March 10 2024,0,3,11,8,0.7,0,0,5,700,5,0,37,47,0,0,56,76,0,https://www.onthesnow.com/north-carolina/wolf-ridge-ski-resort/ski-resort.html,0,0,0
Woodbury,785 Washington Road,06798 Woodbury,Connecticut,United States,730,300,430,0,0,0,0,0,1,4,50,0.2,126,70,February 29 2024,March 01 2025,0.5,0.5,1,3,1,0,0,15,35,42,15,35,42,0,0,0,0,0,https://www.onthesnow.com/connecticut/woodbury-ski-area/ski-resort.html,0,0,0
Woods Valley,Box 215,13486 Westernville,New York,United States,1400,500,900,0,0,0,0,0,2,4,16,0.3,0,180,December 16 2023,April 07 2024,0,8,20,27,9,0.5,0,0,475,460,368,28,31,33,39,0,0,0,https://www.onthesnow.com/new-york/woods-valley-ski-area/ski-resort.html,0,0,0
Yawgoo Valley,Box 41,2877 Slocum,Rhode Island,United States,315,245,70,0,0,0,0,0,2,2,30,0.2,100,40,December 27 2023,March 17 2024,0,3,10,13,2,0,0,479,499,519,199,0,25,30,25,0,45,50,https://www.onthesnow.com/rhode-island/yawgoo-valley/ski-resort.html,0,0,0
Badger Pass,9001 Village Dr.,95389 Yosete,California,United States,7800,600,7200,0,0,0,0,1,3,1,88,0.4,110,300,December 22 2023,March 20 2024,0.6,9,13,12,5,0,0,181,350,435,350,29.5,42,47,0,29.5,42,47,https://www.onthesnow.com/california/badger-pass/ski-resort.html,0,Check terrain information.,0
Mission Ridge,P.O. Box 1668,98807-1668 Wenatchee,Washington,United States,6820,2250,4570,0,1,,,,3,3,66,0.8,104,200,November 17 2012,April 28 2024,5,38,34,32,19,9,0,119,499,849,429,0,0,0,0,0,0,0,https://www.onthesnow.com/washington/mission-ridge/ski-resort.html,0,0,0
Mt. Bachelor,P.O. Box 1000,97702 Bend,Oregon,United States,9065,3365,5700,0,8,,1,3,,3,20,4,185,462,November 23 2022,May 28 2024,22,103,78,84,68,40,9,279,439,1249,799,62,88,109,88,62,88,109,https://www.onthesnow.com/oregon/mt-bhelor/ski-resort.html,0,0,0
Mt. Bohemia,L La Belle,53066 Michigan,Michigan,United States,1500,900,600,0,,,,1,1,,620,2.3,83,273,November 27 2022,April 7 2024,0,9,35,38,17,6,0,109,68,68,68,68,68,68,68,68,0,0,https://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html,0,0,0
Shawnee Mountain,P.O. Box 339,18356-0339 Shawnee on Delaware,Pennsylvania,United States,1350,700,650,0,1,,1,,3,4,125,1.6,100,50,December 27 2023,March 24 2024,0.8,9,11,13,11,0,0,45,58,45,55,80,70,45,45,45,85,135,https://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html,0,0,0
Wachusett Mountain,499 Mountain Road,01541-1105 Princeton,Masshusetts,United States,2006,1000,1006,0,3,,,1,,4,125,1.5,0,100,November 25 2023,April 7 2024,4,18,18,28,16,0.5,0,529,799,529,15,53,65,53,15,58,71,58,https://www.onthesnow.com/masshusetts/whusett-mountain-ski-area/ski-resort.html,0,0,0
Magic Mountain Vermont,P.O. Box 396,05148 Londonderry,Vermont,United States,2850,1500,1350,0,,,,,2,2,95,1.6,76,150,November 25 2023,April 7 2024,4,20,24,30,27,0.6,0,549,579,849,549,0,69,89,69,0,69,89,https://www.onthesnow.com/vermont/magic-mountain/ski-resort.html,0,0,0
