ski_resort,address,city,state,country,summit,drop,base,gondolas_and_trams,fast_eight,high_speed_sixes,quad_chairs,triple_chairs,double_chairs,surface_lifts,total_runs,longest_run,skiable_terrain,snow_making,terrain_note,daysOpenLastYear,averageSnowfall,projectedOpening,projectedClosing,nov_snow,dec_snow,jan_snow,feb_snow,mar_snow,apr_snow,may_snow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,beginner_runs,intermediate_runs,advanced_runs,expert_runs,ticket_price_note
Mt. Abram Ski,Howe Hill Road,04255 Greenwood,Maine,United States,2250,1150,1050,,,,,,2,3,54,0.5 mi,640 ac,175 ac,,120,"125""",16-Dec-23,24-Mar-24,"0""","14""","14""","19""","10""","0.6""",,429,569,429,29,29,29,39,49,39,,,https://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html,,19%,41%,26%,15%,
Mt. Ashland,P.O. Box 220,97520-0008 Ashland,Oregon,United States,7533,1150,6383,,,,,2,2,1,41,1 mi,240 ac,,,94,"270""",10-Dec-22,23-Apr-23,"6""","25""","33""","29""","26""","3""","0""",299,549,599,0,52,62,0,0,59,69,0,https://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,,7%,44%,37%,12%,
Mt. Bachelor,P.O. Box 1000,97702 Bend,Oregon,United States,9065,3365,5700,,8,,1,3,,3,119,4 mi,4323 ac,20 ac,,185,"462""",25-Nov-22,28-May-23,"22""","103""","78""","84""","68""","40""","9""",279,439,"1,249.00",799,62,88,109,88,62,88,109,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html,,19%,55%,22%,3%,
Mt. Baker,1420 Iowa St.,98229 Bellingham,Washington,United States,5000,1500,3500,,,,8,,,2,38,0.7 mi,1000 ac,,Check terrain information.,143,"663""",16-Nov-23,21-Apr-24,"46""","131""","104""","103""","92""","34""","0""",264.5,350.75,954,569.25,37.04,54.63,87.04,73.15,37.04,54.63,87.04,https://www.onthesnow.com/washington/mt-baker/ski-resort.html,,,,,,
Mt. Baldy,P.O. Box 459,91759 Mt. Baldy,California,United States,8600,2100,6500,,,,,,4,,26,2.5 mi,800 ac,80 ac,,175,"178""",25-Nov-22,29-May-23,"0""","5""","11""","12""","8""",,,39,49,69,39,39,49,69,39,,,,https://www.onthesnow.com/california/mt-baldy/ski-resort.html,Check gondola information.,20%,40%,20%,20%,
Mt. Bohemia,Lac La Belle,53066 Michigan,Michigan,United States,1500,900,600,,,,,1,1,,105,2.3 mi,620 ac,,,83,"273""",27-Dec-23,7-Apr-24,"0""","9""","35""","38""","17""","6""",,109,68,68,68,68,68,68,68,68,,,https://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html,Check gondola information.,,2%,8%,90%,
Mt. Brighton,4141 Bauer Road,48116 Brighton,Michigan,United States,1330,230,1100,,,,2,3,,7,27,0.1 mi,130 ac,130 ac,,111,"60""",9-Dec-23,10-Mar-24,"0.6""","7""","12""","14""","6""","0""",,439,859,60,94,65,60,94,65,-,75,-,https://www.onthesnow.com/michigan/mount-brighton/ski-resort.html,,19%,46%,27%,8%,
Mt. Crescent,P.O. Box 69,51526 Crescent,Iowa,United States,1500,300,1200,,,,1,,1,,11,0.2 mi,50 ac,50 ac,,N.A.,"30""",20-Dec-23,10-Mar-24,"0""","0.8""","0.8""","0.6""","0.2""",,,299,299,299,5,24,29,24,5,34,39,34,https://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html,Check gondola information.,18%,45%,27%,9%,
Mt. Holiday,3100 Holiday Road,49684 Traverse City,Michigan,United States,440,200,240,,,,,,2,2,12,0.1 mi,45 ac,45 ac,Check terrain information.,100,"120""",28-Dec-23,17-Mar-24,"0""","2""","7""","5""","0.2""",,,0,269,269,0,0,20,22,0,0,28,34,https://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html,,,,,,
Mt. Hood Meadows,P.O. Box 470,97041 Mt. Hood,Oregon,United States,7300,2777,4523,,6,,,,5,1,87,3 mi,2150 ac,,Check terrain information.,150,"430""",29-Nov-23,28-Apr-24,"17""","87""","65""","82""","58""","38""","2""",259,379,499,389,,,,,,,,https://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html,,,,,,
Mt. Hood Skibowl,PO Box 280,97028 Government Camp,Oregon,United States,5100,1500,3600,,,,,,4,6,69,3 mi,960 ac,29 ac,Check terrain information.,125,"300""",2-Dec-23,28-Apr-24,"3""","29""","41""","50""","36""","12""","0""",274,381,499,274,0,41,70,40,0,41,70,https://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,,,,,,
Mt. Jefferson,P. O. Box 35,04455 Lee,Maine,United States,753,432,351,,,,,,,3,12,0.3 mi,12 ac,,Check terrain information.,N.A.,"0""",21-Dec-23,8-Mar-24,"0""",,"0.2""","0.4""","0.5""",,,,,,,,,,,,,,https://www.onthesnow.com/maine/mt-jefferson/ski-resort.html,,,,,,Check ticket prices.
Mt. La Crosse,P.O. Box 9,54602 La Crosse,Wisconsin,United States,1110,516,594,,,,,,3,1,19,0.4 mi,100 ac,100 ac,Check terrain information.,115,"40""",23-Dec-23,13-Mar-24,"0""","6""","8""","7""","3""",,,535,53,56,53,56,27,29,100,107,,,https://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,,,,,,
Mt. Rose Ski Tahoe,22222 Mt. Rose Hwy.,89511-8705 Reno,Nevada,United States,9700,1800,8260,,,2,2,2,,2,66,2.5 mi,1200 ac,330 ac,,152,"350""",10-Nov-23,28-Apr-24,"21""","73""","59""","52""","59""","12""","2""",375,795,135,135,,,,,,,,https://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,,27%,26%,23%,24%,
Mt. Shasta,PO Box 1180,96067 Mount Shasta,California,United States,6890,1435,5500,,,,1,3,,2,38,1.1 mi,636 ac,225 ac,Check terrain information.,140,"300""",10-Dec-22,10-Apr-23,"0.8""","28""","55""","35""","41""","5""","0""",449,549,699,499,16,33,49,33,20,40,59,https://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,,,,,,
Mt. Spokane,29500 North Mt. Spokane Park Dr.,99021 Mead,Washington,United States,5889,2000,4200,,,,,1,5,2,55,0.6 mi,1704 ac,,Check terrain information.,100,"300""",3-Dec-23,9-Apr-24,"5""","40""","44""","31""","18""","3""","0""",629,799,629,0,38,45,38,0,49,59,49,https://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,,,,,,
Mulligan's Hollow,Box 969,49417 Grand Haven,Michigan,United States,700,130,570,,,,,,,5,6,0.2 mi,10 ac,10 ac,Check terrain information.,N.A.,"60""",26-Dec-23,17-Mar-24,"0""","1""","3""","3""","0.1""",,,240,240,240,240,15,20,,,,,,https://www.onthesnow.com/michigan/mulligans-hollow-ski-bowl/ski-resort.html,,,,,,
Nashoba Valley,PO Box 309,01886 Westford,Massachusetts,United States,440,240,200,,,,,3,1,6,17,0.5 mi,52 ac,52 ac,Check terrain information.,112,"55""",18-Dec-23,20-Mar-24,"0""","7""","13""","18""","6""",,,,,,,,,,,,,,https://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html,,24%,47%,29%,,Check ticket prices.
New Hermon Mountain,RR1 Box 3347,4981 Stockton Springs,Maine,United States,450,350,100,,,,,,1,2,20,1.9 mi,70 ac,70 ac,Check terrain information.,102,"90""",30-Dec-23,26-Mar-24,"0""","4""","12""","18""","5""",,,230,250,350,27,32,27,32,22,27,,,https://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,,,,,,
Nordic Mountain,W5806 Cty Rd W,54984 Wild Rose,Wisconsin,United States,1137,265,872,,,,,1,1,5,16,1 mi,60 ac,60 ac,Check terrain information.,95,"60""",25-Nov-23,2-Apr-24,"1""","13""","12""","11""","4""","0""",,479,499,499,479,0,26,39,26,,,,https://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,,31%,31%,38%,,
Nordic Valley,3567 Nordic Valley Way,84310 Eden,Utah,United States,6400,960,5440,,,1,,,3,1,40,0.4 mi,300 ac,,,105,"300""",9-Dec-23,7-Apr-24,"0.6""","28""","40""","31""","16""","3""","0""",525,625,899,675,30,45,35,35,50,40,,https://www.onthesnow.com/utah/wolf-creek/ski-resort.html,,33%,23%,40%,5%,
Northstar California,PO Box 129,96160 Truckee,California,United States,8610,2280,6330,2,7,1,1,2,,7,100,1.4 mi,3170 ac,1500 ac,Check terrain information.,135,"350""",26-Nov-23,28-Apr-24,"23""","83""","81""","76""","73""","14""","0""",439,859,163,116,199,163,91,126,154,126,326,https://www.onthesnow.com/california/northstar-california/ski-resort.html,,13%,60%,27%,,
Norway Mountain,P.O. Box 95,49870 Norway,Michigan,United States,1335,500,835,,,,,1,2,3,17,1.4 mi,186 ac,186 ac,,110,"100""",16-Dec-23,21-Apr-24,"0""","3""","4""","1""","0.8""",,,25,37,45,37,,,,,,,,https://www.onthesnow.com/michigan/norway-mountain/ski-resort.html,,6%,33%,33%,28%,
Nubs Nob,500 Nub's Nob Road,49740 Harbor Springs,Michigan,United States,1338,427,911,,,,3,4,2,1,53,0.9 mi,248 ac,248 ac,Check terrain information.,133,"135""",24-Nov-23,7-Apr-24,"4""","27""","33""","23""","13""","1""","0""",300,450,700,600,50,60,65,60,63,73,85,https://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html,,,,,,
Oak Mountain,141 Novosel Way,12164 Speculator,NY,United States,2400,650,1750,,,,1,,,3,22,1.2 mi,46 ac,18 ac,,N.A.,"120""",17-Dec-23,25-Mar-24,"0""","12""","15""","17""","12""",,,315,415,315,0,29,40,29,0,29,40,29,https://www.onthesnow.com/new-york/oak-mountain/ski-resort.html,,45%,27%,18%,9%,
Ober Gatlinburg Ski,1001 Parkway,37738 Gatlinburg,Tennessee,United States,3300,600,2700,,,,2,,1,1,10,1 mi,,,Check terrain information.,83,"35""",25-Nov-23,31-Mar-24,"0.2""","1""","8""","7""","1""","0""",,69,299,399,299,0,30,36,30,0,55,65,https://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html,,20%,60%,20%,,
Okemo Mountain,77 Okemo Ridge Road,O5149 Ludlow,Vermont,United States,3344,2200,1144,,4,1,5,3,,7,126,3.4 mi,667 ac,654 ac,,150,"200""",18-Nov-23,14-Apr-24,"7""","28""","25""","32""","25""","4""","0""",393,297,,,,,,,,,,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html,,33%,38%,21%,9%,
Omni Homestead,PO Box 2000,24445 Hot Springs,Virginia,United States,3200,700,2500,,,,,,1,1,9,0.5 mi,42 ac,100 ac,Check terrain information.,91,"50""",26-Dec-23,3-Mar-24,"0""","0.5""","4""","5""","1""",,,169,199,49,59,,,,,,,,https://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html,,33%,56%,11%,,
Otis Ridge,159 Monterey Road - Route 23,MA 01253 Otis,Massachusetts,United States,1700,400,1300,,,,,,1,3,11,1 mi,60 ac,55 ac,Check terrain information.,106,"70""",17-Dec-23,26-Mar-24,"0""","2""","7""","9""","7""",,,109,289,289,15,20,20,0,15,35,40,0,https://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html,,,,,,
Pajarito Mountain,P.O. Box 155,87544 Los Alamos,New Mexico,United States,10441,1410,9031,,,,1,1,3,1,56,0.6 mi,750 ac,35 ac,Check terrain information.,89,"163""",9-Dec-23,7-Apr-24,"1""","17""","18""","20""","12""","0""",,0,525,899,675,0,45,59,45,0,45,59,https://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html,,,,,,
Palisades Tahoe,PO Box 2007,96146 Olympic Valley,California,United States,9050,2850,6200,3,6,4,1,12,5,5,270,3.2 mi,6000 ac,1000 ac,Check terrain information.,212,"450""",18-Nov-22,4-Jul-23,"32""","84""","86""","84""","83""","31""","6""",389,879,"1,179.00",149,134,149,134,160,206,229,206,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort.html,,,,,,
Paoli Peaks,P.O. Box 67,47454 Paoli,Indiana,United States,900,300,600,,1,,1,3,1,2,15,0.4 mi,65 ac,65 ac,,75,"18""",23-Dec-23,17-Mar-24,"0""","2""","13""","8""","1""",,,439,859,0,36,38,36,0,38,45,38,,https://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html,,47%,33%,13%,7%,
Park City Mountain,P.O. Box 39,84060 Park City,Utah,United States,10026,3226,6800,4,7,6,9,8,4,6,341,3.5 mi,7300 ac,500 ac,,142,"355""",15-Nov-23,28-Apr-24,"20""","64""","63""","57""","56""","16""","0""",439,859,148,215,148,153,239,165,276,430,846,https://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html,,8%,41%,28%,23%,
Pats Peak,PO Box 2448,03242 Henniker,New Hampshire,United States,1460,770,690,,,,,4,2,5,28,1.5 mi,115 ac,115 ac,,106,"100""",2-Dec-23,24-Mar-24,"1""","14""","17""","27""","15""","0""",,30,529,589,529,0,59,69,59,0,69,79,https://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html,,50%,21%,14%,14%,
Pebble Creek,P.O. Box 370,83245 Inkom,Idaho,United States,8560,2200,6360,,,,,3,,,54,1.3 mi,1100 ac,30 ac,Check terrain information.,85,"250""",2-Dec-23,7-Apr-24,"0""","15""","38""","51""","36""","4""",,452,552,644,552,5,32,47,32,5,32,47,https://www.onthesnow.com/idaho/pebble-creek-ski-area/ski-resort.html,Check gondola information.,,,,,
Peekn Peak,P.O. Box 360,14736-0360 Findley Lake,New York,United States,1800,400,1400,,,,,7,,2,26,2.4 mi,110 ac,110 ac,,110,"225""",9-Dec-23,26-Mar-24,"0.7""","28""","55""","43""","20""","0.2""","0""",359,399,535,359,39,49,39,49,63,49,,https://www.onthesnow.com/new-york/peekn-peak/ski-resort.html,,30%,45%,15%,10%,
Perfect North Slopes,19074 Perfect Lane,47025 Lawrenceburg,Indiana,United States,800,400,400,,,,2,3,,7,22,1 mi,100 ac,100 ac,Check terrain information.,82,"24""",25-Nov-23,10-Mar-24,"2""","6""","6""","7""","0.9""","0""",,366,549,366,42,52,42,42,52,42,29,39,https://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html,,,,,,
Pico Mountain,4763 Killington Road,05751 Killington,Vermont,United States,3967,1967,2000,,2,,,2,2,1,58,4 mi,267 ac,156 ac,Check terrain information.,N.A.,"250""",15-Dec-23,7-Apr-24,"0.2""","14""","35""","36""","28""","2""","0""",439,689,539,62,81,69,62,81,69,,,https://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html,,,,,,
Pine Knob,7778 Sashabaw Road,48348 Clartkston,Michigan,United States,1308,300,1009,,,,,,,13,17,1 mi,80 ac,80 ac,Check terrain information.,N.A.,"0""",22-Nov-23,19-Mar-24,"0.6""","6""","9""","9""","5""","0""",,420,495,575,517,49,44,57,52,,,,https://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html,,,,,,
Pine Mountain,N3332 Pine Mountain Road,49801 Iron Mountain,Michigan,United States,1650,500,1150,,,,,1,2,1,35,0.5 mi,220 ac,220 ac,Check terrain information.,110,"60""",16-Dec-23,7-Apr-24,"0.7""","8""","17""","13""","4""","0.1""","0""",0,249,299,249,0,44,49,44,0,44,49,https://www.onthesnow.com/michigan/pine-mountain/ski-resort.html,,,,,,
Plattekill Mountain,469 Plattekill Mountain Road,12474 Roxbury,New York,United States,3500,1100,2400,,,,,1,1,2,38,2 mi,110 ac,75 ac,,65,"175""",16-Dec-23,7-Apr-24,"0""","15""","24""","31""","18""","2""",,50,399,779,509,0,40,50,40,0,52,68,https://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html,,20%,40%,,20%,
Pleasant,119 Mountain Road,04009 Bridgton,Maine,United States,1900,1350,600,,,,1,2,1,2,43,0.8 mi,239 ac,234 ac,Check terrain information.,97,"110""",16-Dec-23,7-Apr-24,"0""","13""","22""","35""","20""","2""",,439,529,819,559,49,55,58,75,,,,https://www.onthesnow.com/maine/pleasant-mountain/ski-resort.html,,,,,,
Pomerelle Mountain,P.O. Box 158,83311 Albion,Idaho,United States,9000,1000,8000,,,,,1,1,1,32,1.5 mi,500 ac,50 ac,Check terrain information.,138,"500""",11-Dec-23,9-Apr-24,"5""","37""","46""","46""","43""","4""","0""",25,320,475,,,,,,,,,https://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html,,,,,,
Powder Mountain,P.O. Box 450,84310 Eden,Utah,United States,9422,2522,6900,,1,,4,1,,3,154,3.5 mi,8464 ac,,Check terrain information.,120,"400""",8-Dec-23,16-Apr-24,"13""","43""","47""","52""","54""","10""","0""",0,69,119,89,0,79,139,99,,,,https://www.onthesnow.com/utah/powder-mountain/ski-resort.html,,,,,,
Powder Ridge Minnesota,P.O. Box 339,55353 Kimball,Minnesota,United States,790,300,500,,,,,2,2,3,20,0.5 mi,60 ac,60 ac,Check terrain information.,111,"45""",22-Nov-23,31-Mar-24,"0.6""","6""","4""","3""","0.7""","0""",,25,355,535,355,0,27,36,27,0,38,48,https://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html,,45%,40%,15%,,
Powder Ridge Connecticut,99 Powder Hill Road,06455 Middlefield,Connecticut,United States,720,550,170,,,,,1,2,3,20,0.5 mi,80 ac,68 ac,Check terrain information.,80,"80""",26-Dec-23,17-Mar-24,"0""","0.4""","7""","5""","4""",,,216,520,570,520,16,35,45,35,18,39,55,https://www.onthesnow.com/connecticut/powder-ridge-park/ski-resort.html,,45%,40%,15%,,
Powderhorn,P.O. Box 370,81643 Mesa,Colorado,United States,9850,1650,8200,,1,,,,2,2,54,1.5 mi,1600 ac,59 ac,,112,"250""",25-Nov-23,7-Apr-24,"1""","38""","39""","44""","38""","2""","0""",29,399,699,29,19,39,79,19,19,39,79,https://www.onthesnow.com/colorado/powderhorn/ski-resort.html,,20%,28%,48%,4%,
Purgatory Mountain,#1 Skier Place,81301 Durango,Colorado,United States,10822,2029,8793,,2,1,,3,3,2,105,1.3 mi,1108 ac,250 ac,,130,"260""",18-Nov-23,14-May-23,"13""","62""","50""","52""","42""","5""","0""",525,625,899,675,60,70,89,75,60,70,89,https://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html,,23%,35%,30%,12%,
Ragged Mountain,620 Ragged Mountain Road,03230 Danbury,New Hampshire,United States,2250,1250,1000,,1,1,,1,,2,57,1.2 mi,250 ac,200 ac,,95,"100""",8-Dec-23,2-Apr-24,"0""","24""","19""","27""","15""","2""",,699,50,60,74,50,60,70,84,60,,,https://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html,,30%,26%,37%,7%,
Red Lodge Mtn.,P.O. Box 750,59068 Red Lodge,Montana,United States,9416,2400,7016,,2,,,1,3,1,70,2.5 mi,1635 ac,496 ac,,142,"250""",24-Nov-23,14-Apr-24,"8""","26""","22""","45""","38""","17""","0""",299,499,849,309,29,54,69,54,29,54,69,https://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html,,19%,25%,36%,20%,
Red River,P.O. Box 900,87558 Red River,New Mexico,United States,10350,1600,8750,,,,1,3,1,2,64,2.5 mi,209 ac,,Check terrain information.,110,"214""",23-Nov-23,17-Mar-24,"7""","24""","25""","33""","19""","0""",,450,490,615,20,0,82,106,0,0,82,106,https://www.onthesnow.com/new-mexico/red-river/ski-resort.html,,31%,31%,38%,,
Roundtop Mountain,925 Roundtop Rd.,17339 Lewisberry,Pennsylvania,United States,1400,600,800,,,,3,2,,4,19,0.4 mi,103 ac,103 ac,,N.A.,"30""",24-Dec-23,17-Mar-24,"0""","3""","9""","7""","7""",,,439,859,55,63,61,73,,,,,,https://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html,,32%,21%,37%,11%,
Royal Mountain,3072 State Highway 10,12032 Caroga Lake,New York,United States,1800,550,1250,,,,,,3,,14,0.3 mi,35 ac,28 ac,Check terrain information.,N.A.,"90""",17-Dec-23,8-Apr-24,"0""","6""","5""","7""","3""",,,425,0,30,45,25,0,30,45,25,,,https://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html,Check gondola information.,,,,,
Sandia Peak,10 Tramway Loop N.E.,87122 Albuquerque,New Mexico,United States,10378,1700,8678,,,,,,3,1,35,2 mi,200 ac,30 ac,Check terrain information.,32,"100""",25-Nov-23,10-Mar-24,"0.4""","6""","14""","6""","0""",,,239,379,619,479,40,45,55,45,40,45,55,https://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html,,23%,49%,29%,,
Sapphire Valley,P.O. Box 2048,28717 Cashiers,North Carolina,United States,3450,250,3200,,,,1,,,2,2,1 mi,8 ac,8 ac,Check terrain information.,53,"24""",26-Dec-23,3-Mar-24,"0""","12""","15""","10""","0.3""",,,,,,,,,,,,,,https://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html,,50%,50%,,,Check ticket prices.
Saskadena Six,14 The Green,05091 Woodstock,Vermont,United States,1200,650,550,,,,,,2,1,24,0.4 mi,100 ac,50 ac,Check terrain information.,100,"90""",14-Dec-23,26-Mar-24,"0""","6""","14""","21""","5""",,,499,599,499,10,35,45,35,10,60,75,60,https://www.onthesnow.com/vermont/suicide-six/ski-resort.html,,,,,,
Shanty Creek,One Shanty Creek Road,49615 Bellaire,Michigan,United States,1125,450,675,,,,5,,,3,42,1 mi,80 ac,72 ac,Check terrain information.,94,"160""",24-Nov-23,24-Mar-24,"4""","29""","37""","23""","11""","0""",,239,349,349,349,49,54,59,54,63,69,79,https://www.onthesnow.com/michigan/shanty-creek/ski-resort.html,,36%,29%,36%,,
Schweitzer,"10,000 Schweitzer Mountain Road",83864 Sandpoint,Idaho,United States,6400,2400,4000,,3,1,,2,2,2,92,2.1 mi,2900 ac,47 ac,,136,"300""",19-Nov-23,7-Apr-24,"17""","68""","60""","48""","33""","10""","0""",49,549,"1,349.00",49,0,60,110,0,0,60,110,https://www.onthesnow.com/idaho/schweitzer/ski-resort.html,,10%,40%,35%,15%,
Seven Oaks,1086 222nd Drive,50036 Boone,Iowa,United States,975,275,800,,,,,2,,2,11,1 mi,35 ac,35 ac,,100,"40""",25-Nov-23,10-Mar-24,"0""","1""","3""","4""","0.1""",,,90,358,28,40,28,40,20,25,,,,https://www.onthesnow.com/iowa/seven-oaks/ski-resort.html,,25%,50%,,-,
Seven Springs,777 Waterwheel Drive,15622 Seven Springs,Pennsylvania,United States,2994,750,2240,,,2,3,5,,4,42,1.2 mi,285 ac,285 ac,,99,"135""",24-Nov-23,7-Apr-24,"0.9""","13""","29""","26""","17""","0.6""","0""",439,859,859,55,67,69,87,,,,,https://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html,,38%,36%,14%,12%,
Shawnee Mountain,P.O. Box 339,18356-0339 Shawnee on Delaware,Pennsylvania,United States,1350,700,650,,1,,1,,3,4,23,1.6 mi,125 ac,125 ac,Check terrain information.,100,"50""",25-Nov-23,24-Mar-24,"0.8""","9""","11""","13""","11""","0""",,45,58,45,55,80,70,45,45,45,85,135,https://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html,,43%,30%,26%,,
Showdown,P.O. Box 92,59465 Neihart,Montana,United States,8200,1400,6800,,,,,1,2,1,39,1.8 mi,640 ac,,Check terrain information.,86,"250""",24-Nov-23,2-Apr-24,"2""","36""","42""","50""","33""","4""","0""",200,450,700,600,0,25,47,37,0,25,47,https://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html,,28%,44%,28%,,
Sierra at Tahoe,1111 Sierra-at-Tahoe Road,95735 Twin Bridges,California,United States,8852,2212,6640,,3,,,1,5,5,47,2.5 mi,2000 ac,200 ac,Check terrain information.,160,"460""",2-Dec-23,21-Apr-24,"19""","67""","66""","78""","66""","13""","0""",289,549,649,289,50,115,125,115,50,115,125,https://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html,,,,,,
Silver Mountain,610 Bunker Avenue,83837 Kellogg,Idaho,United States,6300,2200,4100,1,,,1,2,2,1,80,2.5 mi,1600 ac,225 ac,Check terrain information.,130,"300""",24-Nov-23,28-Apr-24,"5""","58""","62""","62""","41""","14""","0""",459,489,799,539,0,42,57,51,0,47,62,https://www.onthesnow.com/idaho/silver-mountain/ski-resort.html,,,,,,
Silverton Mountain,P.O. Box 856,81433 Silverton,CO,United States,13487,3087,10400,,,,,,1,,69,1.5 mi,26819 ac,,,175,"400""",28-Dec-23,14-Apr-24,"0""","38""","70""","74""","56""","11""",,698,79,79,,,,,,,,,https://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html,Check gondola information.,,,,100%,
Sipapu Ski and Summer,5224 NM-518,87579 Vadito,New Mexico,United States,9255,1055,8200,,,,1,2,,3,42,0.5 mi,200 ac,140 ac,Check terrain information.,127,"190""",18-Nov-23,14-Apr-24,"12""","30""","26""","28""","26""","3""","0""",525,625,899,675,0,40,55,40,0,40,47,https://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html,,,,,,
Ski Apache,Box 220,88312 Ruidoso,New Mexico,United States,11500,1900,9600,1,,,2,5,,3,55,2 mi,750 ac,270 ac,Check terrain information.,133,"185""",26-Nov-23,24-Mar-24,"1""","18""","14""","15""","7""","0""",,950,950,950,850,54,65,74,67,54,65,74,https://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html,,,,,,
Ski Brule,397 Brule Mountain Road,49935 Iron River,Michigan,United States,1860,500,1360,,,,,,5,6,17,1 mi,150 ac,150 ac,,164,"150""",19-Nov-23,14-Apr-24,"16""","23""","22""","25""","14""","11""","0""",0,441,487,427,0,55,70,70,0,55,70,https://www.onthesnow.com/michigan/ski-brule/ski-resort.html,,35%,35%,24%,6%,
Ski Butternut,380 State Road - Route 23,01230 Great Barrington,Massachusetts,United States,1800,1000,800,,,,3,1,1,5,22,1.5 mi,100 ac,100 ac,Check terrain information.,107,"115""",23-Dec-23,1-Apr-24,"4""","12""","18""","20""","15""","0.2""","0""",389,549,599,389,15,20,25,20,25,50,60,https://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html,,36%,36%,27%,,
Ski Santa Fe,PO Box 2108,87504 Santa Fe,New Mexico,United States,12075,1725,10350,,,,1,2,2,2,86,3 mi,660 ac,275 ac,,107,"225""",23-Nov-23,14-Apr-24,"16""","34""","39""","37""","38""","4""","0""",60,72,92,72,67,79,99,79,60,72,72,https://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html,,16%,31%,47%,6%,
Ski Sawmill,383 Oregon Hill Rd.,16938 Morris,Pennsylvania,United States,2215,515,1700,,,,,1,1,2,12,0.1 mi,15 ac,13 ac,Check terrain information.,N.A.,"24""",26-Dec-23,29-Mar-24,"0""","3""","8""","9""","3""",,,"1,400.00",650,30,32,0,45,48,0,,,,https://www.onthesnow.com/pennsylvania/ski-sawmill/ski-resort.html,,38%,23%,38%,,
Ski Snowstar Winter Sports Park,9500 126th St. West,61232 Andalusia,Illinois,United States,790,262,528,,,,2,,2,2,15,0.8 mi,28 ac,28 ac,,56,"38""",27-Dec-23,4-Mar-24,"0""","3""","11""","12""","1""",,,309,0,25,25,25,0,30,35,30,,,https://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html,,13%,20%,27%,40%,
Ski Sundown,PO Box 208,06057 New Hartford,Connecticut,United States,1075,625,450,,,,,3,,2,16,1 mi,70 ac,70 ac,,84,"45""",26-Dec-23,24-Mar-24,"0.5""","3""","11""","17""","8""","0""",,325,675,725,225,18,54,62,38,18,54,62,https://www.onthesnow.com/connecticut/ski-sundown/ski-resort.html,,50%,25%,19%,6%,
